,Unnamed: 0,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5484,902363,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-06-30,-31,-3,-36,-43,-34,14
5485,902364,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-01,-32,-2,-36,-43,-35,15
5486,902365,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-02,-34,-1,-35,-43,-37,15
5487,902366,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-03,-34,10,-33,-44,-33,16
5488,902367,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-04,-61,-48,-53,-54,-25,16
5489,902368,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-05,-66,-52,-60,-57,-19,14
5490,902369,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-06,-35,-2,-38,-42,-36,14
5491,902370,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-07,-39,-11,-41,-45,-39,16
5492,902371,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-08,-39,-11,-41,-46,-38,17
5493,902372,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-09,-40,-9,-42,-47,-39,17
5494,902373,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-10,-37,3,-40,-50,-34,17
5495,902374,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-11,-57,-40,-49,-54,-22,15
5496,902375,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-12,-62,-49,-58,-59,-19,14
5497,902376,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-13,-34,-2,-42,-45,-37,14
5498,902377,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-14,-35,-8,-39,-45,-39,16
5499,902378,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-15,-33,-4,-37,-45,-38,16
5500,902379,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-16,-34,-5,-38,-45,-38,16
5501,902380,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-17,-36,-1,-34,-46,-34,17
5502,902381,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-18,-46,-21,-42,-48,-17,13
5503,902382,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-19,-52,-28,-52,-55,-12,12
5504,902383,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-20,-35,-7,-38,-45,-37,14
5505,902384,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-21,-37,-12,-39,-47,-40,16
5506,902385,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-22,-37,-12,-38,-48,-38,16
5507,902386,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-23,-37,-10,-36,-47,-39,16
5508,902387,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-24,-38,-5,-35,-48,-34,17
5509,902388,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-25,-47,-20,-47,-51,-19,13
5510,902389,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-26,-61,-39,-60,-62,-25,13
5511,902390,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-27,-40,-14,-49,-49,-43,16
5512,902391,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-28,-38,-15,-44,-49,-40,16
5513,902392,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-29,-37,-15,-42,-49,-40,17
5514,902393,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-30,-33,-10,-35,-46,-39,16
5515,902394,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-07-31,-31,-1,-31,-48,-34,15
5516,902395,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-01,-42,-14,-42,-50,-18,12
5517,902396,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-02,-48,-23,-52,-53,-13,11
5518,902397,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-03,-30,-8,-35,-42,-35,13
5519,902398,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-04,-31,-11,-33,-44,-37,15
5520,902399,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-05,-30,-9,-34,-45,-37,15
5521,902400,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-06,-32,-11,-33,-45,-37,15
5522,902401,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-07,-33,-6,-31,-48,-32,15
5523,902402,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-08,-41,-16,-40,-48,-17,12
5524,902403,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-09,-47,-24,-53,-53,-14,11
5525,902404,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-10,-31,-10,-34,-44,-35,13
5526,902405,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-11,-33,-13,-34,-47,-37,14
5527,902406,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-12,-33,-13,-32,-48,-36,15
5528,902407,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-13,-32,-10,-32,-46,-36,14
5529,902408,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-14,-29,-1,-28,-45,-32,14
5530,902409,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-15,-38,-11,-39,-45,-15,10
5531,902410,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-16,-44,-19,-47,-51,-11,10
5532,902411,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-17,-28,-7,-30,-42,-34,12
5533,902412,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-18,-30,-10,-32,-44,-34,13
5534,902413,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-19,-28,-10,-28,-45,-34,14
5535,902414,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-20,-27,-9,-29,-44,-35,14
5536,902415,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-21,-28,-4,-29,-44,-30,13
5537,902416,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-22,-34,-10,-35,-45,-13,10
5538,902417,MX,Mexico,Tamaulipas,,,MX-TAM,,2020-08-23,-40,-15,-42,-48,-9,9
5539,902418,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-15,9,3,11,4,5,-2
5540,902419,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-16,6,3,1,1,3,0
5541,902420,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-17,1,2,1,7,11,-2
5542,902421,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-18,-1,-2,1,3,10,-2
5543,902422,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-19,2,-1,4,1,9,-2
5544,902423,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-20,4,1,20,6,10,-2
5545,902424,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-21,-1,-1,5,11,14,-3
5546,902425,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-22,3,1,20,11,5,-1
5547,902426,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-23,2,4,20,14,4,0
5548,902427,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-24,0,1,15,9,9,-2
5549,902428,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-25,1,0,13,8,8,-2
5550,902429,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-26,-1,-1,28,1,8,-2
5551,902430,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-27,3,-1,0,5,6,0
5552,902431,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-28,5,5,4,16,12,-2
5553,902432,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-02-29,9,9,8,12,8,-1
5554,902433,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-01,9,8,7,12,6,0
5555,902434,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-02,1,4,1,11,12,-2
5556,902435,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-03,-1,2,1,10,10,-2
5557,902436,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-04,0,3,2,5,10,-2
5558,902437,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-05,0,1,1,4,10,-1
5559,902438,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-06,-3,1,3,11,13,-2
5560,902439,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-07,0,2,9,5,8,0
5561,902440,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-08,3,2,0,0,5,0
5562,902441,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-09,-6,-3,-4,-4,-19,6
5563,902442,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-10,-5,-1,0,11,9,-2
5564,902443,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-11,-3,-1,-2,2,9,-2
5565,902444,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-12,-2,0,-1,3,10,-2
5566,902445,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-13,2,5,4,11,6,-2
5567,902446,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-14,7,9,10,15,5,-2
5568,902447,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-15,5,6,6,-10,2,-1
5569,902448,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-16,-3,4,-13,-3,-50,12
5570,902449,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-17,-5,0,-6,-1,-14,4
5571,902450,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-18,-9,-4,-10,-14,-21,7
5572,902451,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-19,-11,-5,-13,-24,-22,8
5573,902452,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-20,-18,-7,-13,-41,-19,9
5574,902453,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-21,-16,-5,-11,-32,-2,5
5575,902454,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-22,-23,-13,-26,-40,-4,6
5576,902455,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-23,-19,-12,-17,-42,-29,10
5577,902456,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-24,-23,-14,-21,-43,-33,12
5578,902457,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-25,-23,-15,-23,-45,-34,13
5579,902458,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-26,-25,-16,-23,-48,-35,14
5580,902459,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-27,-28,-13,-18,-48,-31,14
5581,902460,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-28,-25,-10,-17,-39,-10,9
5582,902461,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-29,-33,-15,-33,-47,-10,10
5583,902462,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-30,-23,-11,-18,-39,-39,14
5584,902463,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-03-31,-24,-14,-22,-34,-41,14
5585,902464,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-01,-25,-14,-21,-37,-43,15
5586,902465,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-02,-35,-14,-30,-38,-44,17
5587,902466,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-03,-44,-12,-34,-38,-40,18
5588,902467,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-04,-42,-6,-30,-34,-18,12
5589,902468,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-05,-48,-11,-37,-40,-16,10
5590,902469,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-06,-38,-8,-25,-38,-46,16
5591,902470,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-07,-40,-9,-27,-38,-48,17
5592,902471,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-08,-38,-6,-28,-36,-49,17
5593,902472,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-09,-41,0,-26,-40,-57,19
5594,902473,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-10,-65,-25,-45,-61,-69,27
5595,902474,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-11,-58,-18,-42,-51,-43,15
5596,902475,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-12,-57,-22,-50,-42,-22,12
5597,902476,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-13,-41,-14,-34,-41,-47,17
5598,902477,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-14,-42,-15,-33,-38,-49,18
5599,902478,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-15,-39,-9,-32,-39,-48,18
5600,902479,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-16,-38,-12,-34,-41,-48,18
5601,902480,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-17,-45,-14,-34,-43,-44,21
5602,902481,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-18,-46,-17,-38,-40,-19,13
5603,902482,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-19,-53,-25,-50,-46,-15,12
5604,902483,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-20,-47,-26,-42,-46,-46,19
5605,902484,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-21,-46,-25,-41,-44,-48,19
5606,902485,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-22,-46,-23,-40,-43,-48,19
5607,902486,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-23,-47,-23,-42,-44,-48,19
5608,902487,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-24,-50,-24,-43,-48,-44,21
5609,902488,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-25,-49,-21,-43,-47,-21,14
5610,902489,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-26,-54,-25,-51,-50,-16,12
5611,902490,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-27,-45,-23,-40,-48,-45,19
5612,902491,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-28,-47,-25,-41,-45,-47,14
5613,902492,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-29,-42,-16,-35,-44,-47,19
5614,902493,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-04-30,-34,-4,-30,-40,-46,17
5615,902494,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-01,-49,-18,-42,-50,-54,23
5616,902495,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-02,-44,-14,-34,-41,-20,14
5617,902496,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-03,-51,-21,-46,-46,-11,11
5618,902497,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-04,-42,-15,-34,-46,-45,18
5619,902498,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-05,-44,-19,-37,-45,-48,19
5620,902499,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-06,-43,-19,-40,-48,-46,19
5621,902500,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-07,-44,-21,-41,-48,-46,20
5622,902501,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-08,-44,-16,-39,-49,-41,21
5623,902502,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-09,-39,-6,-33,-36,-16,13
5624,902503,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-10,-43,-13,-41,-45,4,8
5625,902504,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-11,-42,-18,-40,-48,-43,18
5626,902505,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-12,-43,-19,-37,-46,-45,18
5627,902506,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-13,-41,-18,-37,-47,-45,19
5628,902507,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-14,-39,-14,-35,-45,-44,19
5629,902508,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-15,-40,-9,-30,-45,-39,19
5630,902509,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-16,-38,-7,-31,-40,-13,13
5631,902510,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-17,-46,-17,-46,-51,-5,12
5632,902511,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-18,-37,-13,-35,-46,-42,18
5633,902512,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-19,-40,-14,-36,-43,-43,18
5634,902513,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-20,-41,-14,-33,-43,-43,19
5635,902514,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-21,-42,-15,-34,-45,-43,20
5636,902515,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-22,-46,-14,-35,-45,-37,20
5637,902516,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-23,-43,-10,-31,-37,-9,13
5638,902517,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-24,-49,-17,-40,-45,-2,11
5639,902518,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-25,-42,-13,-34,-43,-41,19
5640,902519,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-26,-44,-17,-35,-43,-41,18
5641,902520,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-27,-43,-17,-37,-43,-40,19
5642,902521,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-28,-43,-15,-38,-44,-41,20
5643,902522,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-29,-41,-7,-29,-40,-35,20
5644,902523,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-30,-39,-2,-27,-32,-3,12
5645,902524,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-05-31,-45,-10,-36,-39,7,11
5646,902525,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-01,-37,-5,-29,-38,-36,17
5647,902526,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-02,-40,-10,-30,-36,-38,17
5648,902527,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-03,-40,-11,-33,-38,-37,18
5649,902528,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-04,-40,-11,-31,-39,-37,18
5650,902529,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-05,-42,-10,-31,-41,-32,19
5651,902530,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-06,-41,-8,-30,-34,-2,13
5652,902531,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-07,-47,-14,-40,-43,7,11
5653,902532,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-08,-41,-13,-36,-42,-35,18
5654,902533,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-09,-42,-15,-34,-41,-36,17
5655,902534,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-10,-39,-12,-31,-40,-36,17
5656,902535,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-11,-40,-12,-34,-42,-37,18
5657,902536,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-12,-40,-6,-25,-40,-31,18
5658,902537,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-13,-36,-1,-22,-33,2,11
5659,902538,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-14,-42,-8,-35,-40,13,11
5660,902539,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-15,-32,-1,-23,-38,-33,16
5661,902540,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-16,-33,-3,-25,-36,-35,17
5662,902541,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-17,-36,-8,-29,-37,-36,17
5663,902542,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-18,-36,-7,-27,-40,-36,17
5664,902543,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-19,-38,-6,-26,-37,-30,16
5665,902544,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-20,-35,0,-25,-30,2,12
5666,902545,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-21,-39,-7,-34,-39,22,9
5667,902546,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-22,-36,-9,-31,-38,-36,17
5668,902547,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-23,-39,-13,-31,-36,-37,17
5669,902548,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-24,-37,-9,-32,-40,-37,18
5670,902549,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-25,-38,-11,-35,-39,-37,18
5671,902550,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-26,-41,-8,-33,-40,-32,18
5672,902551,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-27,-37,-4,-29,-32,1,12
5673,902552,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-28,-43,-11,-40,-42,11,11
5674,902553,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-29,-35,-4,-32,-37,-34,16
5675,902554,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-06-30,-34,-3,-34,-37,-35,16
5676,902555,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-01,-33,-2,-32,-38,-36,16
5677,902556,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-02,-34,-3,-35,-42,-36,16
5678,902557,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-03,-39,-5,-36,-43,-31,17
5679,902558,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-04,-36,-1,-34,-37,0,11
5680,902559,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-05,-44,-12,-48,-45,8,11
5681,902560,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-06,-36,-7,-39,-42,-36,16
5682,902561,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-07,-36,-7,-39,-42,-37,16
5683,902562,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-08,-37,-8,-38,-41,-37,17
5684,902563,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-09,-40,-15,-43,-46,-37,18
5685,902564,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-10,-40,-8,-36,-43,-32,17
5686,902565,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-11,-38,-6,-35,-39,-1,12
5687,902566,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-12,-43,-13,-46,-47,8,11
5688,902567,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-13,-36,-9,-39,-44,-35,16
5689,902568,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-14,-33,-8,-37,-41,-38,17
5690,902569,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-15,-28,0,-32,-38,-36,16
5691,902570,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-16,-28,0,-33,-38,-36,16
5692,902571,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-17,-35,-5,-38,-40,-31,17
5693,902572,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-18,-32,-1,-32,-31,1,11
5694,902573,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-19,-38,-10,-45,-43,9,11
5695,902574,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-20,-35,-10,-41,-42,-36,17
5696,902575,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-21,-34,-9,-37,-36,-37,16
5697,902576,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-22,-34,-10,-39,-40,-36,16
5698,902577,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-23,-35,-11,-39,-41,-36,17
5699,902578,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-24,-39,-11,-40,-41,-31,18
5700,902579,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-25,-35,-7,-36,-33,-1,12
5701,902580,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-26,-39,-9,-42,-40,10,10
5702,902581,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-27,-34,-10,-38,-42,-36,16
5703,902582,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-28,-36,-12,-38,-39,-37,17
5704,902583,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-29,-32,-8,-36,-40,-37,16
5705,902584,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-30,-29,-5,-34,-41,-36,16
5706,902585,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-07-31,-33,-6,-36,-42,-31,17
5707,902586,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-01,-28,2,-28,-33,0,10
5708,902587,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-02,-36,-11,-45,-43,6,10
5709,902588,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-03,-27,-2,-33,-41,-34,15
5710,902589,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-04,-28,-4,-34,-38,-35,15
5711,902590,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-05,-27,-3,-32,-38,-35,15
5712,902591,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-06,-29,-7,-36,-40,-35,15
5713,902592,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-07,-33,-7,-34,-42,-30,16
5714,902593,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-08,-30,-4,-34,-37,0,10
5715,902594,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-09,-35,-9,-43,-41,9,10
5716,902595,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-10,-29,-6,-35,-41,-34,15
5717,902596,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-11,-30,-8,-35,-38,-35,15
5718,902597,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-12,-28,-6,-35,-37,-35,15
5719,902598,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-13,-27,-6,-34,-40,-34,15
5720,902599,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-14,-31,-7,-36,-40,-30,16
5721,902600,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-15,-22,7,-25,-29,2,8
5722,902601,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-16,-27,-1,-37,-40,12,8
5723,902602,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-17,-24,-3,-32,-40,-34,14
5724,902603,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-18,-22,-2,-24,-35,-33,14
5725,902604,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-19,-23,-4,-25,-36,-34,14
5726,902605,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-20,-23,-6,-26,-37,-34,15
5727,902606,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-21,-26,-3,-23,-38,-28,15
5728,902607,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-22,-20,4,-16,-32,4,8
5729,902608,MX,Mexico,Tlaxcala,,,MX-TLA,,2020-08-23,-25,-2,-28,-40,14,8
5730,902609,MX,Mexico,Veracruz,,,MX-VER,,2020-02-15,5,6,11,5,4,-1
5731,902610,MX,Mexico,Veracruz,,,MX-VER,,2020-02-16,8,6,7,13,2,-1
5732,902611,MX,Mexico,Veracruz,,,MX-VER,,2020-02-17,1,3,1,8,18,-3
5733,902612,MX,Mexico,Veracruz,,,MX-VER,,2020-02-18,-2,-1,2,3,13,-2
